Algusaeg,Lõppaeg,Kaloreid (kcal),Kaugus (m),Minimaalne laiuskraad (kraadi),Minimaalne pikkuskraad (kraadi),Maksimaalne laiuskraad (kraadi),Maksimaalne pikkuskraad (kraadi),Keskmine kiirus (m/s),Max kiirus (m/s),Min kiirus (m/s),Sammuloend,Keskmine kaal (kg),Max kaal (kg),Min kaal (kg),Inaktiivsus kestus (ms),Kõndimine kestus (ms)
00:00:00.000+02:00,00:15:00.000+02:00,15.854166012331616,,58.11792755126953,24.4937801361084,58.11792755126953,24.4937801361084,,,,8,,,,900000,
00:15:00.000+02:00,00:30:00.000+02:00,15.854166012331616,,,,,,,,,3,,,,900000,
00:30:00.000+02:00,00:45:00.000+02:00,15.854166012331616,,,,,,,,,0,,,,900000,
00:45:00.000+02:00,01:00:00.000+02:00,15.854166012331616,,58.11789321899414,24.49379539489746,58.11789321899414,24.49379539489746,0.5717834234237671,0.5717834234237671,0.5717834234237671,,,,,900000,
01:00:00.000+02:00,01:15:00.000+02:00,15.854166012331616,,58.11788558959961,24.493806838989258,58.11788558959961,24.493806838989258,0.5717834234237671,0.5717834234237671,0.5717834234237671,,,,,900000,
01:15:00.000+02:00,01:30:00.000+02:00,15.854166012331616,,58.11793899536133,24.49373435974121,58.11793899536133,24.49373435974121,,,,,,,,900000,
01:30:00.000+02:00,01:45:00.000+02:00,15.854166012331616,,,,,,,,,,,,,900000,
01:45:00.000+02:00,02:00:00.000+02:00,15.854166012331616,,,,,,,,,,,,,900000,
02:00:00.000+02:00,02:15:00.000+02:00,15.854166012331616,,,,,,,,,,,,,900000,
02:15:00.000+02:00,02:30:00.000+02:00,15.854166012331616,,58.11794662475586,24.493785858154297,58.11794662475586,24.493785858154297,0.5633725523948669,0.5633725523948669,0.5633725523948669,,,,,900000,
02:30:00.000+02:00,02:45:00.000+02:00,15.854166012331616,,,,,,0.5633725523948669,0.5633725523948669,0.5633725523948669,,,,,900000,
02:45:00.000+02:00,03:00:00.000+02:00,15.854166012331616,,,,,,0.5633725523948669,0.5633725523948669,0.5633725523948669,,,,,900000,
03:00:00.000+02:00,03:15:00.000+02:00,15.854166012331616,,,,,,0.5633725523948669,0.5633725523948669,0.5633725523948669,,,,,900000,
03:15:00.000+02:00,03:30:00.000+02:00,15.854166012331616,,58.11793518066406,24.493717193603516,58.11793518066406,24.493717193603516,,,,,,,,900000,
03:30:00.000+02:00,03:45:00.000+02:00,15.854166012331616,,,,,,,,,,,,,900000,
03:45:00.000+02:00,04:00:00.000+02:00,15.854166012331616,,,,,,,,,,,,,900000,
04:00:00.000+02:00,04:15:00.000+02:00,15.854166012331616,,,,,,,,,,,,,900000,
04:15:00.000+02:00,04:30:00.000+02:00,15.854166012331616,,,,,,,,,,,,,900000,
04:30:00.000+02:00,04:45:00.000+02:00,15.854166012331616,,,,,,,,,,,,,900000,
04:45:00.000+02:00,05:00:00.000+02:00,15.854166012331616,,,,,,,,,,,,,900000,
05:00:00.000+02:00,05:15:00.000+02:00,15.854166012331616,,,,,,,,,,,,,900000,
05:15:00.000+02:00,05:30:00.000+02:00,15.854166012331616,,,,,,,,,,,,,900000,
05:30:00.000+02:00,05:45:00.000+02:00,15.854166012331616,,,,,,,,,,,,,900000,
05:45:00.000+02:00,06:00:00.000+02:00,15.854166012331616,,,,,,,,,,,,,900000,
06:00:00.000+02:00,06:15:00.000+02:00,15.854166012331616,,,,,,,,,,,,,900000,
06:15:00.000+02:00,06:30:00.000+02:00,15.854166012331616,,58.11793899536133,24.493484497070312,58.11800003051758,24.49373435974121,,,,,,,,900000,
06:30:00.000+02:00,06:45:00.000+02:00,15.854166012331616,,,,,,,,,29,,,,900000,
06:45:00.000+02:00,07:00:00.000+02:00,15.854166012331616,,,,,,,,,30,,,,900000,
07:00:00.000+02:00,07:15:00.000+02:00,15.854166012331616,,,,,,,,,91,,,,900000,
07:15:00.000+02:00,07:30:00.000+02:00,15.854166012331616,,58.11803436279297,24.493772506713867,58.11803436279297,24.493772506713867,0.7496767044067383,0.7496767044067383,0.7496767044067383,94,,,,900000,
07:30:00.000+02:00,07:45:00.000+02:00,15.854166828318892,,58.11791229248047,24.493623733520508,58.12680435180664,24.505779266357422,4.242579438550852,8.247761726379395,0.9200892448425293,52,,,,237824,
07:45:00.000+02:00,08:00:00.000+02:00,15.854167121385023,,,,,,,,,50,,,,,
08:00:00.000+02:00,08:15:00.000+02:00,25.356980249314407,50.19402313232422,58.37053680419922,24.550086975097656,58.37065887451172,24.550214767456055,0.9546945691108704,0.9546945691108704,0.9546945691108704,178,,,,,207859
08:15:00.000+02:00,08:30:00.000+02:00,15.854166124955372,,58.41059875488281,24.49302101135254,58.41059875488281,24.49302101135254,,,,10,,,,,
