Algusaeg,Lõppaeg,Kaloreid (kcal),Kaugus (m),Minimaalne laiuskraad (kraadi),Minimaalne pikkuskraad (kraadi),Maksimaalne laiuskraad (kraadi),Maksimaalne pikkuskraad (kraadi),Keskmine kiirus (m/s),Max kiirus (m/s),Min kiirus (m/s),Sammuloend,Keskmine kaal (kg),Max kaal (kg),Min kaal (kg),Inaktiivsus kestus (ms),Kõndimine kestus (ms)
00:00:00.000+02:00,00:15:00.000+02:00,15.854166365689185,,,,,,,,,,,,,900000,
00:15:00.000+02:00,00:30:00.000+02:00,15.854166365689185,,58.1179084777832,24.493759155273438,58.117916107177734,24.493776321411133,0.5599667727947235,0.6033002138137817,0.5166333317756653,,,,,900000,
00:30:00.000+02:00,00:45:00.000+02:00,15.854166365689185,,,,,,0.5166333317756653,0.5166333317756653,0.5166333317756653,,,,,900000,
00:45:00.000+02:00,01:00:00.000+02:00,15.854166365689185,,,,,,,,,,,,,900000,
01:00:00.000+02:00,01:15:00.000+02:00,15.854166365689185,,,,,,,,,,,,,900000,
01:15:00.000+02:00,01:30:00.000+02:00,15.854166365689185,,,,,,,,,,,,,900000,
01:30:00.000+02:00,01:45:00.000+02:00,15.854166365689185,,,,,,,,,2,,,,900000,
01:45:00.000+02:00,02:00:00.000+02:00,15.854166365689185,,,,,,,,,2,,,,900000,
02:00:00.000+02:00,02:15:00.000+02:00,15.854166365689185,,,,,,,,,0,,,,900000,
02:15:00.000+02:00,02:30:00.000+02:00,15.854166365689185,,,,,,,,,,,,,900000,
02:30:00.000+02:00,02:45:00.000+02:00,15.854166365689185,,,,,,,,,2,,,,900000,
02:45:00.000+02:00,03:00:00.000+02:00,15.854166365689185,,,,,,,,,2,,,,900000,
03:00:00.000+02:00,03:15:00.000+02:00,15.854166365689185,,,,,,,,,1,,,,900000,
03:15:00.000+02:00,03:30:00.000+02:00,15.854166365689185,,,,,,,,,1,,,,900000,
03:30:00.000+02:00,03:45:00.000+02:00,15.854166365689185,,,,,,,,,4,,,,900000,
03:45:00.000+02:00,04:00:00.000+02:00,15.854166365689185,,58.11794662475586,24.493356704711914,58.11802673339844,24.493724822998047,0.5203360915184021,0.5203360915184021,0.5203360915184021,4,,,,900000,
04:00:00.000+02:00,04:15:00.000+02:00,15.854166365689185,,,,,,,,,0,,,,900000,
04:15:00.000+02:00,04:30:00.000+02:00,15.854166365689185,,,,,,,,,,,,,900000,
04:30:00.000+02:00,04:45:00.000+02:00,15.854166365689185,,,,,,,,,,,,,900000,
04:45:00.000+02:00,05:00:00.000+02:00,15.854166365689185,,,,,,,,,,,,,900000,
05:00:00.000+02:00,05:15:00.000+02:00,15.854166365689185,,,,,,,,,,,,,900000,
05:15:00.000+02:00,05:30:00.000+02:00,15.854166365689185,,,,,,,,,,,,,900000,
05:30:00.000+02:00,05:45:00.000+02:00,15.854166365689185,,,,,,,,,,,,,900000,
05:45:00.000+02:00,06:00:00.000+02:00,15.854166365689185,,58.118003845214844,24.49366569519043,58.118003845214844,24.49366569519043,,,,,,,,900000,
06:00:00.000+02:00,06:15:00.000+02:00,15.854166365689185,,58.11801528930664,24.493654251098633,58.11801528930664,24.493654251098633,,,,1,,,,900000,
06:15:00.000+02:00,06:30:00.000+02:00,15.854166365689185,,58.117916107177734,24.493602752685547,58.11801528930664,24.493732452392578,0.6515417993068695,0.6588272452354431,0.6442563533782959,1,,,,900000,
06:30:00.000+02:00,06:45:00.000+02:00,15.854166365689185,,,,,,0.6442563533782959,0.6442563533782959,0.6442563533782959,3,,,,900000,
06:45:00.000+02:00,07:00:00.000+02:00,15.854166365689185,,,,,,,,,3,,,,900000,
07:00:00.000+02:00,07:15:00.000+02:00,15.854166365689185,,,,,,,,,24,,,,900000,
07:15:00.000+02:00,07:30:00.000+02:00,15.854166365689185,,,,,,,,,24,,,,900000,
07:30:00.000+02:00,07:45:00.000+02:00,20.11925267096108,,58.07813262939453,24.49553871154785,58.11418914794922,24.506183624267578,6.5061540603637695,6.5061540603637695,6.5061540603637695,67,,,,309526,93292
07:45:00.000+02:00,08:00:00.000+02:00,15.854167144691305,,58.07815170288086,24.49559211730957,58.07815170288086,24.49559211730957,,,,67,,,,900000,
08:00:00.000+02:00,08:15:00.000+02:00,15.854167144691305,,,,,,,,,15,,,,900000,
08:15:00.000+02:00,08:30:00.000+02:00,15.854167144691305,,,,,,,,,15,,,,900000,
08:30:00.000+02:00,08:45:00.000+02:00,15.854167144691305,,,,,,,,,71,,,,900000,
08:45:00.000+02:00,09:00:00.000+02:00,20.338057256398407,,58.07823944091797,24.4954776763916,58.07823944091797,24.4954776763916,,,,73,,,,801922,98078
09:00:00.000+02:00,09:15:00.000+02:00,15.854166543830512,,,,,,,,,2,,,,900000,
09:15:00.000+02:00,09:30:00.000+02:00,15.854166543830512,,58.07823944091797,24.4954776763916,58.07823944091797,24.4954776763916,,,,2,,,,900000,
09:30:00.000+02:00,09:45:00.000+02:00,15.854166543830512,,58.07813262939453,24.49553871154785,58.07813262939453,24.49553871154785,,,,64,,,,900000,
09:45:00.000+02:00,10:00:00.000+02:00,15.854166543830512,,,,,,,,,64,,,,900000,
10:00:00.000+02:00,10:15:00.000+02:00,15.854166543830512,,,,,,,,,4,,,,900000,
10:15:00.000+02:00,10:30:00.000+02:00,15.854166543830512,,,,,,,,,4,,,,900000,
10:30:00.000+02:00,10:45:00.000+02:00,15.854166543830512,,58.07814407348633,24.495601654052734,58.07814407348633,24.495601654052734,0.8052285313606262,0.8052285313606262,0.8052285313606262,64,,,,900000,
10:45:00.000+02:00,11:00:00.000+02:00,22.698088770952523,,,,,,,,,64,,,,750300,149700
