Algusaeg,Lõppaeg,Kaloreid (kcal),Kaugus (m),Minimaalne laiuskraad (kraadi),Minimaalne pikkuskraad (kraadi),Maksimaalne laiuskraad (kraadi),Maksimaalne pikkuskraad (kraadi),Keskmine kiirus (m/s),Max kiirus (m/s),Min kiirus (m/s),Sammuloend,Keskmine kaal (kg),Max kaal (kg),Min kaal (kg),Jalgrattasõit kestus (ms),Inaktiivsus kestus (ms),Kõndimine kestus (ms)
09:45:00.000+02:00,10:00:00.000+02:00,22.099646847870332,35.37416458129883,58.07819366455078,24.495689392089844,58.07841110229492,24.495840072631836,0.44042932242155075,0.7085988521575928,0.17225979268550873,75,,,,,763390,136610
10:00:00.000+02:00,10:15:00.000+02:00,15.854166544226771,,58.07815933227539,24.495397567749023,58.078330993652344,24.495561599731445,,,,10,,,,,900000,
10:15:00.000+02:00,10:30:00.000+02:00,15.854166544226771,,,,,,,,,8,,,,,900000,
10:30:00.000+02:00,10:45:00.000+02:00,23.513555482688815,,58.07819366455078,24.495689392089844,58.078269958496094,24.49600601196289,,,,73,,,,,732463,167537
10:45:00.000+02:00,11:00:00.000+02:00,18.26320913433664,,,,,,,,,74,,,,,847306,52694
11:00:00.000+02:00,11:15:00.000+02:00,15.854166428136049,,58.07815933227539,24.495397567749023,58.0782585144043,24.495840072631836,,,,28,,,,,900000,
11:15:00.000+02:00,11:30:00.000+02:00,23.60631532209771,,58.07819747924805,24.49569320678711,58.07822036743164,24.49579429626465,,,,104,,,,,730434,169566
11:30:00.000+02:00,11:45:00.000+02:00,38.80192906162923,,58.0782585144043,24.49567413330078,58.07838439941406,24.495840072631836,,,,244,,,,,398054,501946
11:45:00.000+02:00,12:00:00.000+02:00,38.37516472980714,,58.077789306640625,24.495363235473633,58.077789306640625,24.495363235473633,,,,120,,,,459135,222407,
12:00:00.000+02:00,12:15:00.000+02:00,26.89523986771225,,,,,,,,,137,,,,,596612,241506
12:15:00.000+02:00,12:30:00.000+02:00,27.26239663619032,,58.07815933227539,24.495397567749023,58.07815933227539,24.495397567749023,,,,133,,,,,650463,249537
12:30:00.000+02:00,12:45:00.000+02:00,15.854166705865268,,58.07819366455078,24.495689392089844,58.07823944091797,24.495853424072266,,,,80,,,,,900000,
12:45:00.000+02:00,13:00:00.000+02:00,15.854166705865268,,,,,,,,,79,,,,,900000,
13:00:00.000+02:00,13:15:00.000+02:00,15.854166705865268,,58.07794189453125,24.49578285217285,58.0780143737793,24.49579620361328,,,,32,,,,,900000,
13:15:00.000+02:00,13:30:00.000+02:00,15.854166705865268,,58.07819366455078,24.495561599731445,58.078243255615234,24.49594497680664,1.6294389963150024,1.6294389963150024,1.6294389963150024,31,,,,,900000,
13:30:00.000+02:00,13:45:00.000+02:00,15.854166705865268,,,,,,,,,20,,,,,900000,
13:45:00.000+02:00,14:00:00.000+02:00,15.854166705865268,,,,,,,,,19,,,,,900000,
14:00:00.000+02:00,14:15:00.000+02:00,15.854166705865268,,,,,,,,,86,,,,,900000,
14:15:00.000+02:00,14:30:00.000+02:00,30.19742071103108,107.92933235168456,58.078128814697266,24.495365142822266,58.078643798828125,24.496015548706055,0.7724720499171941,1.583418607711792,0.5070676207542419,229,,,,,586264,313736
14:30:00.000+02:00,14:45:00.000+02:00,32.53848158012835,105.9504222869873,,,,,0.9605107307434082,1.5877864360809326,0.3332350254058838,330,,,,,535057,364943
14:45:00.000+02:00,15:00:00.000+02:00,35.998808997203035,308.82433166503904,58.08131790161133,24.50027847290039,58.08226013183594,24.50153160095215,0.9488269306660921,1.5232056379318237,0.6274251937866211,684,,,,,301147,440633
15:00:00.000+02:00,15:15:00.000+02:00,26.0397262987023,,58.11793899536133,24.49373435974121,58.11793899536133,24.49373435974121,,,,97,,,,,374129,222793
15:15:00.000+02:00,15:30:00.000+02:00,15.854165219038503,,,,,,,,,90,,,,,900000,
15:30:00.000+02:00,15:45:00.000+02:00,15.854165219038503,,,,,,,,,6,,,,,900000,
15:45:00.000+02:00,16:00:00.000+02:00,15.854165219038503,,,,,,,,,4,,,,,900000,
16:00:00.000+02:00,16:15:00.000+02:00,15.854165219038503,,,,,,,,,38,,,,,900000,
16:15:00.000+02:00,16:30:00.000+02:00,15.854165219038503,,,,,,,,,39,,,,,900000,
16:30:00.000+02:00,16:45:00.000+02:00,15.854165219038503,,,,,,,,,45,,,,,900000,
16:45:00.000+02:00,17:00:00.000+02:00,15.854165219038503,,,,,,,,,45,,,,,900000,
17:00:00.000+02:00,17:15:00.000+02:00,15.854165219038503,,,,,,,,,15,,,,,900000,
17:15:00.000+02:00,17:30:00.000+02:00,15.854165219038503,,,,,,,,,14,,,,,900000,
17:30:00.000+02:00,17:45:00.000+02:00,15.854165219038503,,,,,,,,,20,,,,,900000,
17:45:00.000+02:00,18:00:00.000+02:00,15.854165219038503,,,,,,,,,20,,,,,900000,
18:00:00.000+02:00,18:15:00.000+02:00,15.854165219038503,,,,,,,,,34,,,,,900000,
18:15:00.000+02:00,18:30:00.000+02:00,15.854165219038503,,,,,,,,,35,,,,,900000,
18:30:00.000+02:00,18:45:00.000+02:00,15.854165219038503,,,,,,,,,26,,,,,900000,
18:45:00.000+02:00,19:00:00.000+02:00,15.854165219038503,,,,,,,,,25,,,,,900000,
19:00:00.000+02:00,19:15:00.000+02:00,15.854165219038503,,,,,,,,,4,,,,,900000,
19:15:00.000+02:00,19:30:00.000+02:00,15.854165219038503,,,,,,,,,3,,,,,900000,
19:30:00.000+02:00,19:45:00.000+02:00,15.854165219038503,,,,,,,,,3,,,,,900000,
19:45:00.000+02:00,20:00:00.000+02:00,15.854165219038503,,,,,,,,,3,,,,,900000,
20:00:00.000+02:00,20:15:00.000+02:00,15.854165219038503,,,,,,,,,2,,,,,900000,
20:15:00.000+02:00,20:30:00.000+02:00,15.854165219038503,,,,,,,,,2,,,,,900000,
20:30:00.000+02:00,20:45:00.000+02:00,15.854165219038503,,,,,,,,,7,,,,,900000,
20:45:00.000+02:00,21:00:00.000+02:00,15.854165219038503,,,,,,,,,7,,,,,900000,
21:00:00.000+02:00,21:15:00.000+02:00,15.854165219038503,,,,,,,,,20,,,,,900000,
21:15:00.000+02:00,21:30:00.000+02:00,15.854165219038503,,,,,,,,,20,,,,,900000,
21:30:00.000+02:00,21:45:00.000+02:00,15.854165219038503,,,,,,,,,22,,,,,900000,
21:45:00.000+02:00,22:00:00.000+02:00,15.854165219038503,,,,,,,,,22,,,,,900000,
22:00:00.000+02:00,22:15:00.000+02:00,15.854165219038503,,,,,,,,,7,,,,,900000,
22:15:00.000+02:00,22:30:00.000+02:00,15.854165219038503,,,,,,,,,7,,,,,900000,
22:30:00.000+02:00,22:45:00.000+02:00,15.854165219038503,,,,,,,,,8,,,,,900000,
22:45:00.000+02:00,23:00:00.000+02:00,15.854165219038503,,,,,,,,,8,,,,,900000,
23:00:00.000+02:00,23:15:00.000+02:00,15.854165219038503,,58.11793899536133,24.49373435974121,58.117977142333984,24.493810653686523,,,,61,,,,,900000,
23:15:00.000+02:00,23:30:00.000+02:00,15.854165219038503,,,,,,,,,62,,,,,900000,
23:30:00.000+02:00,23:45:00.000+02:00,15.854165219038503,,,,,,0.5627455711364746,0.5627455711364746,0.5627455711364746,1,,,,,900000,
23:45:00.000+02:00,00:00:00.000+02:00,15.854165219038503,,,,,,0.5627455711364746,0.5627455711364746,0.5627455711364746,,,,,,900000,
