Algusaeg,Lõppaeg,Kaloreid (kcal),Kaugus (m),Minimaalne laiuskraad (kraadi),Minimaalne pikkuskraad (kraadi),Maksimaalne laiuskraad (kraadi),Maksimaalne pikkuskraad (kraadi),Keskmine kiirus (m/s),Max kiirus (m/s),Min kiirus (m/s),Sammuloend,Keskmine kaal (kg),Max kaal (kg),Min kaal (kg),Inaktiivsus kestus (ms)
14:30:00.000+02:00,14:45:00.000+02:00,15.85416605918746,,,,,,,,,25,,,,900000
14:45:00.000+02:00,15:00:00.000+02:00,15.85416605918746,,,,,,,,,25,,,,900000
15:00:00.000+02:00,15:15:00.000+02:00,15.85416605918746,,,,,,,,,0,,,,900000
15:15:00.000+02:00,15:30:00.000+02:00,15.85416605918746,,,,,,,,,,,,,900000
15:30:00.000+02:00,15:45:00.000+02:00,15.85416605918746,,,,,,,,,2,,,,900000
15:45:00.000+02:00,16:00:00.000+02:00,15.85416605918746,,,,,,,,,2,,,,900000
16:00:00.000+02:00,16:15:00.000+02:00,15.85416605918746,,,,,,,,,1,,,,900000
16:15:00.000+02:00,16:30:00.000+02:00,15.85416605918746,,,,,,,,,1,,,,900000
16:30:00.000+02:00,16:45:00.000+02:00,15.85416605918746,,,,,,,,,5,,,,900000
16:45:00.000+02:00,17:00:00.000+02:00,15.85416605918746,,,,,,,,,5,,,,900000
17:00:00.000+02:00,17:15:00.000+02:00,15.85416605918746,,,,,,,,,0,,,,900000
17:15:00.000+02:00,17:30:00.000+02:00,15.85416605918746,,,,,,,,,,,,,900000
17:30:00.000+02:00,17:45:00.000+02:00,15.85416605918746,,,,,,,,,6,,,,900000
17:45:00.000+02:00,18:00:00.000+02:00,15.85416605918746,,,,,,,,,6,,,,900000
18:00:00.000+02:00,18:15:00.000+02:00,15.85416605918746,,,,,,,,,5,,,,900000
18:15:00.000+02:00,18:30:00.000+02:00,15.85416605918746,,,,,,,,,5,,,,900000
18:30:00.000+02:00,18:45:00.000+02:00,15.85416605918746,,,,,,,,,19,,,,900000
18:45:00.000+02:00,19:00:00.000+02:00,15.85416605918746,,,,,,,,,19,,,,900000
19:00:00.000+02:00,19:15:00.000+02:00,15.85416605918746,,,,,,,,,0,,,,900000
19:15:00.000+02:00,19:30:00.000+02:00,15.85416605918746,,,,,,,,,,,,,900000
19:30:00.000+02:00,19:45:00.000+02:00,15.85416605918746,,,,,,,,,14,,,,900000
19:45:00.000+02:00,20:00:00.000+02:00,15.85416605918746,,,,,,,,,14,,,,900000
20:00:00.000+02:00,20:15:00.000+02:00,15.85416605918746,,,,,,,,,0,,,,900000
20:15:00.000+02:00,20:30:00.000+02:00,15.85416605918746,,,,,,,,,,,,,900000
20:30:00.000+02:00,20:45:00.000+02:00,15.85416605918746,,,,,,,,,,,,,900000
20:45:00.000+02:00,21:00:00.000+02:00,15.85416605918746,,,,,,,,,,,,,900000
21:00:00.000+02:00,21:15:00.000+02:00,15.85416605918746,,,,,,,,,25,,,,900000
21:15:00.000+02:00,21:30:00.000+02:00,15.85416605918746,,,,,,,,,25,,,,900000
21:30:00.000+02:00,21:45:00.000+02:00,15.85416605918746,,,,,,,,,11,,,,900000
21:45:00.000+02:00,22:00:00.000+02:00,15.85416605918746,,,,,,,,,11,,,,900000
22:00:00.000+02:00,22:15:00.000+02:00,15.85416605918746,,,,,,,,,0,,,,900000
22:15:00.000+02:00,22:30:00.000+02:00,15.85416605918746,,,,,,,,,,,,,900000
22:30:00.000+02:00,22:45:00.000+02:00,15.85416605918746,,,,,,,,,8,,,,900000
22:45:00.000+02:00,23:00:00.000+02:00,15.85416605918746,,,,,,,,,8,,,,900000
23:00:00.000+02:00,23:15:00.000+02:00,15.85416605918746,,,,,,,,,9,,,,900000
23:15:00.000+02:00,23:30:00.000+02:00,15.85416605918746,,,,,,,,,9,,,,900000
23:30:00.000+02:00,23:45:00.000+02:00,15.85416605918746,,,,,,,,,3,,,,900000
23:45:00.000+02:00,00:00:00.000+02:00,15.85416605918746,,,,,,,,,3,,,,900000
