Algusaeg,Lõppaeg,Kaloreid (kcal),Kaugus (m),Minimaalne laiuskraad (kraadi),Minimaalne pikkuskraad (kraadi),Maksimaalne laiuskraad (kraadi),Maksimaalne pikkuskraad (kraadi),Keskmine kiirus (m/s),Max kiirus (m/s),Min kiirus (m/s),Sammuloend,Keskmine kaal (kg),Max kaal (kg),Min kaal (kg),Inaktiivsus kestus (ms),Kõndimine kestus (ms)
00:00:00.000+02:00,00:15:00.000+02:00,15.854166307320947,,,,,,,,,16,,,,900000,
00:15:00.000+02:00,00:30:00.000+02:00,15.854166307320947,,58.11798095703125,24.49371910095215,58.11798095703125,24.49371910095215,,,,17,,,,900000,
00:30:00.000+02:00,00:45:00.000+02:00,15.854166307320947,,,,,,,,,1,,,,900000,
00:45:00.000+02:00,01:00:00.000+02:00,15.854166307320947,,,,,,,,,,,,,900000,
01:00:00.000+02:00,01:15:00.000+02:00,15.854166307320947,,,,,,,,,,,,,900000,
01:15:00.000+02:00,01:30:00.000+02:00,15.854166307320947,,,,,,,,,,,,,900000,
01:30:00.000+02:00,01:45:00.000+02:00,15.854166307320947,,,,,,,,,,,,,900000,
01:45:00.000+02:00,02:00:00.000+02:00,15.854166307320947,,,,,,,,,,,,,900000,
02:00:00.000+02:00,02:15:00.000+02:00,15.854166307320947,,,,,,,,,,,,,900000,
02:15:00.000+02:00,02:30:00.000+02:00,15.854166307320947,,,,,,,,,,,,,900000,
02:30:00.000+02:00,02:45:00.000+02:00,15.854166307320947,,58.117950439453125,24.493581771850586,58.117950439453125,24.493581771850586,0.7486796379089355,0.7486796379089355,0.7486796379089355,,,,,900000,
02:45:00.000+02:00,03:00:00.000+02:00,15.854166307320947,,,,,,0.7486796379089355,0.7486796379089355,0.7486796379089355,,,,,900000,
03:00:00.000+02:00,03:15:00.000+02:00,15.854166307320947,,58.11793899536133,24.49373435974121,58.11793899536133,24.49373435974121,,,,,,,,900000,
03:15:00.000+02:00,03:30:00.000+02:00,15.854166307320947,,,,,,,,,,,,,900000,
03:30:00.000+02:00,03:45:00.000+02:00,15.854166307320947,,,,,,,,,,,,,900000,
03:45:00.000+02:00,04:00:00.000+02:00,15.854166307320947,,,,,,,,,,,,,900000,
04:00:00.000+02:00,04:15:00.000+02:00,15.854166307320947,,58.11794662475586,24.493703842163086,58.11794662475586,24.493703842163086,,,,1,,,,900000,
04:15:00.000+02:00,04:30:00.000+02:00,15.854166307320947,,,,,,,,,1,,,,900000,
04:30:00.000+02:00,04:45:00.000+02:00,15.854166307320947,,,,,,,,,0,,,,900000,
04:45:00.000+02:00,05:00:00.000+02:00,15.854166307320947,,,,,,,,,,,,,900000,
05:00:00.000+02:00,05:15:00.000+02:00,15.854166307320947,,,,,,,,,,,,,900000,
05:15:00.000+02:00,05:30:00.000+02:00,15.854166307320947,,,,,,,,,,,,,900000,
05:30:00.000+02:00,05:45:00.000+02:00,15.854166307320947,,,,,,,,,,,,,900000,
05:45:00.000+02:00,06:00:00.000+02:00,15.854166307320947,,,,,,,,,,,,,900000,
06:00:00.000+02:00,06:15:00.000+02:00,15.854166307320947,,58.117862701416016,24.493648529052734,58.11793899536133,24.49373435974121,,,,,,,,900000,
06:15:00.000+02:00,06:30:00.000+02:00,15.854166307320947,,,,,,,,,,,,,900000,
06:30:00.000+02:00,06:45:00.000+02:00,15.854166307320947,,,,,,,,,48,,,,900000,
06:45:00.000+02:00,07:00:00.000+02:00,15.854166307320947,,,,,,,,,50,,,,900000,
07:00:00.000+02:00,07:15:00.000+02:00,15.854166307320947,,,,,,,,,92,,,,900000,
07:15:00.000+02:00,07:30:00.000+02:00,15.854166317084266,,58.11784362792969,24.493682861328125,58.11798095703125,24.494117736816406,1.2908035289951465,2.307967185974121,0.5057547092437744,94,,,,879984,
07:30:00.000+02:00,07:45:00.000+02:00,21.31088114141036,,58.0782356262207,24.4934024810791,58.11790084838867,24.505952835083008,11.422833142478202,20.026288986206055,0.5351468920707703,38,,,,302584,119357
07:45:00.000+02:00,08:00:00.000+02:00,17.835246490983877,,58.07814025878906,24.4957218170166,58.07814025878906,24.4957218170166,,,,35,,,,856667,43333
08:00:00.000+02:00,08:15:00.000+02:00,23.612303670556866,,58.07815933227539,24.495397567749023,58.07815933227539,24.495397567749023,,,,21,,,,730303,169697
08:15:00.000+02:00,08:30:00.000+02:00,15.85416555714439,,,,,,,,,21,,,,900000,
08:30:00.000+02:00,08:45:00.000+02:00,15.85416555714439,,58.07815933227539,24.495397567749023,58.07815933227539,24.495397567749023,,,,36,,,,900000,
08:45:00.000+02:00,09:00:00.000+02:00,23.054459074752764,19.170013427734375,58.07814025878906,24.495336532592773,58.078243255615234,24.4957218170166,0.7130375504493713,0.7130375504493713,0.7130375504493713,35,,,,742505,157495
09:00:00.000+02:00,09:15:00.000+02:00,15.854165577908468,,,,,,,,,12,,,,900000,
09:15:00.000+02:00,09:30:00.000+02:00,15.854165577908468,,,,,,,,,11,,,,900000,
09:30:00.000+02:00,09:45:00.000+02:00,18.465892063937165,,58.07804489135742,24.495189666748047,58.07830047607422,24.495792388916016,0.8427955418055714,1.6141036748886108,0.5018226504325867,56,,,,842872,57128
09:45:00.000+02:00,10:00:00.000+02:00,15.854166946039653,,,,,,,,,58,,,,900000,
10:00:00.000+02:00,10:15:00.000+02:00,15.854166946039653,,,,,,,,,6,,,,900000,
10:15:00.000+02:00,10:30:00.000+02:00,15.854166946039653,,,,,,,,,3,,,,900000,
10:30:00.000+02:00,10:45:00.000+02:00,17.646259698792,,,,,,,,,31,,,,860800,39200
10:45:00.000+02:00,11:00:00.000+02:00,15.854165877450049,,58.07814025878906,24.4957218170166,58.07821273803711,24.495864868164062,,,,33,,,,900000,
11:00:00.000+02:00,11:15:00.000+02:00,15.854165877450049,,,,,,,,,6,,,,900000,
11:15:00.000+02:00,11:30:00.000+02:00,15.854165877450049,,58.07778549194336,24.495615005493164,58.07778549194336,24.495615005493164,,,,4,,,,900000,
11:30:00.000+02:00,11:45:00.000+02:00,19.975058859729586,,58.078060150146484,24.495996475219727,58.07829284667969,24.496112823486328,1.435982781648636,1.6748846769332886,0.8128885626792908,74,,,,809862,90138
11:45:00.000+02:00,12:00:00.000+02:00,51.18097514697912,490.07533264160156,58.07856369018555,24.491945266723633,58.07948303222656,24.495986938476562,,,,619,,,,127282,772718
12:00:00.000+02:00,12:15:00.000+02:00,15.854166024935646,,,,,,,,,14,,,,900000,
12:15:00.000+02:00,12:30:00.000+02:00,15.854166024935646,,,,,,,,,5,,,,900000,
12:30:00.000+02:00,12:45:00.000+02:00,15.854166024935646,,,,,,,,,1,,,,900000,
12:45:00.000+02:00,13:00:00.000+02:00,15.854166024935646,,,,,,,,,1,,,,900000,
13:00:00.000+02:00,13:15:00.000+02:00,15.854166024935646,,,,,,,,,24,,,,900000,
13:15:00.000+02:00,13:30:00.000+02:00,15.854166024935646,,,,,,,,,25,,,,900000,
13:30:00.000+02:00,13:45:00.000+02:00,15.854166024935646,,,,,,,,,1,,,,900000,
13:45:00.000+02:00,14:00:00.000+02:00,15.854166024935646,,,,,,,,,,,,,900000,
14:00:00.000+02:00,14:15:00.000+02:00,48.082053190333,504.4096984863281,58.078155517578125,24.49573516845703,58.07830810546875,24.496061325073242,,,,728,,,,195066,704934
14:15:00.000+02:00,14:30:00.000+02:00,20.922554678690187,,58.07808303833008,24.49578094482422,58.07817077636719,24.496124267578125,,,,50,,,,789137,110863
14:30:00.000+02:00,14:45:00.000+02:00,15.854164783110164,,58.07814025878906,24.4957218170166,58.07822036743164,24.49583625793457,,,,63,,,,900000,
14:45:00.000+02:00,15:00:00.000+02:00,15.854164783110164,,58.07778549194336,24.495615005493164,58.07778549194336,24.495615005493164,,,,64,,,,900000,
15:00:00.000+02:00,15:15:00.000+02:00,15.854164783110164,,,,,,,,,3,,,,900000,
15:15:00.000+02:00,15:30:00.000+02:00,15.854164783110164,,,,,,,,,,,,,900000,
15:30:00.000+02:00,15:45:00.000+02:00,15.854164783110164,,,,,,,,,87,,,,900000,
15:45:00.000+02:00,16:00:00.000+02:00,43.20338927568333,110.14799499511719,58.078575134277344,24.498472213745117,58.078575134277344,24.498472213745117,,,,285,,,,301779,598221
16:00:00.000+02:00,16:15:00.000+02:00,23.166164482382843,55.771135330200195,58.07856369018555,24.4959774017334,58.078575134277344,24.498472213745117,0.9291178286075592,0.9394201636314392,0.9188154935836792,106,,,,740061,159939
16:15:00.000+02:00,16:30:00.000+02:00,21.408852841916655,,,,,,,,,113,,,,94691,121500
16:30:00.000+02:00,16:45:00.000+02:00,15.854165625641448,,58.11793899536133,24.49373435974121,58.11793899536133,24.49373435974121,,,,57,,,,900000,
16:45:00.000+02:00,17:00:00.000+02:00,15.854165625641448,,,,,,,,,54,,,,900000,
17:00:00.000+02:00,17:15:00.000+02:00,15.854165625641448,,,,,,,,,14,,,,900000,
17:15:00.000+02:00,17:30:00.000+02:00,15.854165625641448,,,,,,,,,13,,,,900000,
17:30:00.000+02:00,17:45:00.000+02:00,15.854165625641448,,,,,,,,,4,,,,900000,
17:45:00.000+02:00,18:00:00.000+02:00,15.854165625641448,,,,,,,,,3,,,,900000,
18:00:00.000+02:00,18:15:00.000+02:00,15.854165625641448,,58.117984771728516,24.49373435974121,58.117984771728516,24.49373435974121,,,,25,,,,900000,
18:15:00.000+02:00,18:30:00.000+02:00,15.854165625641448,,,,,,,,,26,,,,900000,
18:30:00.000+02:00,18:45:00.000+02:00,15.854165625641448,,,,,,,,,20,,,,900000,
18:45:00.000+02:00,19:00:00.000+02:00,15.854165625641448,,,,,,,,,20,,,,900000,
19:00:00.000+02:00,19:15:00.000+02:00,15.854165625641448,,,,,,,,,5,,,,900000,
19:15:00.000+02:00,19:30:00.000+02:00,15.854165625641448,,,,,,,,,4,,,,900000,
19:30:00.000+02:00,19:45:00.000+02:00,15.854165625641448,,,,,,,,,5,,,,900000,
19:45:00.000+02:00,20:00:00.000+02:00,15.854165625641448,,,,,,,,,5,,,,900000,
20:00:00.000+02:00,20:15:00.000+02:00,15.854165625641448,,,,,,,,,1,,,,900000,
20:15:00.000+02:00,20:30:00.000+02:00,15.854165625641448,,,,,,,,,1,,,,900000,
20:30:00.000+02:00,20:45:00.000+02:00,15.854165625641448,,,,,,,,,1,,,,900000,
