Algusaeg,Lõppaeg,Kaloreid (kcal),Kaugus (m),Minimaalne laiuskraad (kraadi),Minimaalne pikkuskraad (kraadi),Maksimaalne laiuskraad (kraadi),Maksimaalne pikkuskraad (kraadi),Keskmine kiirus (m/s),Max kiirus (m/s),Min kiirus (m/s),Sammuloend,Keskmine kaal (kg),Max kaal (kg),Min kaal (kg),Inaktiivsus kestus (ms),Kõndimine kestus (ms)
00:00:00.000+02:00,00:15:00.000+02:00,15.854165014870324,,,,,,,,,,,,,900000,
00:15:00.000+02:00,00:30:00.000+02:00,15.854165014870324,,,,,,,,,,,,,900000,
00:30:00.000+02:00,00:45:00.000+02:00,15.854165014870324,,,,,,,,,,,,,900000,
00:45:00.000+02:00,01:00:00.000+02:00,15.854165014870324,,,,,,,,,,,,,900000,
01:00:00.000+02:00,01:15:00.000+02:00,15.854165014870324,,,,,,,,,,,,,900000,
01:15:00.000+02:00,01:30:00.000+02:00,15.854165014870324,,,,,,,,,,,,,900000,
01:30:00.000+02:00,01:45:00.000+02:00,15.854165014870324,,,,,,,,,,,,,900000,
01:45:00.000+02:00,02:00:00.000+02:00,15.854165014870324,,,,,,,,,,,,,900000,
02:00:00.000+02:00,02:15:00.000+02:00,15.854165014870324,,,,,,,,,1,,,,900000,
02:15:00.000+02:00,02:30:00.000+02:00,15.854165014870324,,,,,,,,,1,,,,900000,
02:30:00.000+02:00,02:45:00.000+02:00,15.854165014870324,,,,,,,,,0,,,,900000,
02:45:00.000+02:00,03:00:00.000+02:00,15.854165014870324,,,,,,,,,,,,,900000,
03:00:00.000+02:00,03:15:00.000+02:00,15.854165014870324,,,,,,,,,,,,,900000,
03:15:00.000+02:00,03:30:00.000+02:00,15.854165014870324,,,,,,,,,,,,,900000,
03:30:00.000+02:00,03:45:00.000+02:00,15.854165014870324,,,,,,,,,,,,,900000,
03:45:00.000+02:00,04:00:00.000+02:00,15.854165014870324,,,,,,,,,,,,,900000,
04:00:00.000+02:00,04:15:00.000+02:00,15.854165014870324,,,,,,,,,,,,,900000,
04:15:00.000+02:00,04:30:00.000+02:00,15.854165014870324,,,,,,,,,,,,,900000,
04:30:00.000+02:00,04:45:00.000+02:00,15.854165014870324,,,,,,,,,,,,,900000,
04:45:00.000+02:00,05:00:00.000+02:00,15.854165014870324,,,,,,,,,,,,,900000,
05:00:00.000+02:00,05:15:00.000+02:00,15.854165014870324,,,,,,,,,1,,,,900000,
05:15:00.000+02:00,05:30:00.000+02:00,15.854165014870324,,,,,,,,,1,,,,900000,
05:30:00.000+02:00,05:45:00.000+02:00,15.854165014870324,,,,,,,,,0,,,,900000,
05:45:00.000+02:00,06:00:00.000+02:00,15.854165014870324,,,,,,,,,,,,,900000,
06:00:00.000+02:00,06:15:00.000+02:00,15.854165014870324,,,,,,,,,1,,,,900000,
06:15:00.000+02:00,06:30:00.000+02:00,15.854165014870324,,,,,,,,,1,,,,900000,
06:30:00.000+02:00,06:45:00.000+02:00,15.854165014870324,,58.117950439453125,24.493743896484375,58.11798858642578,24.493778228759766,,,,37,,,,900000,
06:45:00.000+02:00,07:00:00.000+02:00,15.854165014870324,,,,,,,,,39,,,,900000,
07:00:00.000+02:00,07:15:00.000+02:00,15.854165014870324,,,,,,,,,58,,,,900000,
07:15:00.000+02:00,07:30:00.000+02:00,15.854165014870324,,,,,,,,,60,,,,900000,
07:30:00.000+02:00,07:45:00.000+02:00,20.005780366954713,31.799530029296875,58.111392974853516,24.493375778198242,58.11806106567383,24.507108688354492,6.941779278111847,18.273712158203125,0.35481834411621094,77,,,,455685,90810
07:45:00.000+02:00,08:00:00.000+02:00,27.216863428752646,,58.07814025878906,24.495397567749023,58.07815933227539,24.4957218170166,,,,78,,,,559080,248541
08:00:00.000+02:00,08:15:00.000+02:00,17.23771854732228,,,,,,,,,7,,,,869737,30263
08:15:00.000+02:00,08:30:00.000+02:00,15.854167067633009,,,,,,,,,2,,,,900000,
08:30:00.000+02:00,08:45:00.000+02:00,19.71410321286227,,,,,,,,,47,,,,815570,84430
08:45:00.000+02:00,09:00:00.000+02:00,18.028494743474777,,58.07814025878906,24.495397567749023,58.07815933227539,24.4957218170166,,,,52,,,,852440,47560
09:00:00.000+02:00,09:15:00.000+02:00,15.854166099802743,,,,,,,,,6,,,,900000,
09:15:00.000+02:00,09:30:00.000+02:00,15.854166099802743,,,,,,,,,3,,,,900000,
09:30:00.000+02:00,09:45:00.000+02:00,26.060389445773083,57.16541290283203,58.07778549194336,24.495615005493164,58.07778549194336,24.495615005493164,0.9527568221092224,0.9527568221092224,0.9527568221092224,118,,,,676755,223245
09:45:00.000+02:00,10:00:00.000+02:00,15.854165923578165,,,,,,,,,43,,,,900000,
10:00:00.000+02:00,10:15:00.000+02:00,15.854165923578165,,,,,,,,,3,,,,900000,
10:15:00.000+02:00,10:30:00.000+02:00,15.854165923578165,,58.07753372192383,24.495410919189453,58.07778549194336,24.495615005493164,,,,,,,,900000,
